timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 14, 2025 @ 12:27:25.608",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:27:23.570",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:27:23.570",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:27:19.434",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:27:19.434",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:26:04.452",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:26:04.452",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:24:50.203",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:24:50.198",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:24:50.198",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:24:44.103",DESKTOP-T2IA3AS,Software protection service scheduled successfully.,3,60642
"Dec 14, 2025 @ 12:23:37.222",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:23:37.217",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:23:37.217",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:29.319",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:29.302",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:29.287",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:29.284",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:22:29.268",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:22:29.268",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:25.704",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:25.703",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:22:22.984",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:22.969",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:22.953",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:22.937",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:22:22.937",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:21:09.560",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:21:08.557",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:21:08.552",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:21:08.552",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:21:08.552",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:21:04.355",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:21:04.355",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:20:35.916",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:20:35.913",DESKTOP-T2IA3AS,Windows audit failure event,5,60104
"Dec 14, 2025 @ 12:19:58.046",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:19:58.046",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
